SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,10848 Valiente,San Diego,CA,92124,714900,4,2.0,Tierrasanta,1895,8700,1975,68,377,,Active,,,http://www.redfin.com/CA/San-Diego/10848-Valiente-Ct-92124/home/5403039,SDMLS,180059406,N,Y,32.8212306,-117.0909691
MLS Listing,,Single Family Residential,10307 Orozco Rd,San Diego,CA,92124,712750,4,2.0,Tierrasanta,1539,7400,1972,81,463,,Active,,,http://www.redfin.com/CA/San-Diego/10307-Orozco-Rd-92124/home/4984459,SDMLS,180057012,N,Y,32.8372508,-117.1065972
MLS Listing,,Single Family Residential,4255 Feather Ave,San Diego,CA,92117,710000,3,2.0,Clairemont,1201,11200,1954,28,591,,Active,,,http://www.redfin.com/CA/San-Diego/4255-Feather-Ave-92117/home/5149179,SDMLS,180065893,N,Y,32.819341,-117.2022701
MLS Listing,,Single Family Residential,7015 Schilling Ave,San Diego,CA,92126,700000,3,2.5,Mira Mesa,1460,10311,1990,24,479,50,Active,,,http://www.redfin.com/CA/San-Diego/7015-Schilling-Ave-92126/home/4595742,SDMLS,180066673,N,Y,32.9097371,-117.1692354
MLS Listing,,Single Family Residential,3369 Geddes Dr,San Diego,CA,92117,700000,3,1.5,Clairemont,1052,6600,1956,33,665,,Active,,,http://www.redfin.com/CA/San-Diego/3369-Geddes-Dr-92117/home/4950541,SDMLS,180065170,N,Y,32.8235543,-117.2143984
MLS Listing,,Single Family Residential,7340 Conestoga Ct,San Diego,CA,92120,699999,3,2.0,Del Cerro,1521,,1968,11,460,,Active,,,http://www.redfin.com/CA/San-Diego/7340-Conestoga-Ct-92120/home/5406177,SDMLS,180068119,N,Y,32.803708,-117.0757996
MLS Listing,,Single Family Residential,11869 Hi Ridge Rd,Lakeside,CA,92040,699999,5,3.0,Lakeside,3356,87120,1985,81,209,,Active,,,http://www.redfin.com/CA/Lakeside/11869-Hi-Ridge-Rd-92040/home/4999877,SDMLS,180057088,N,Y,32.895142,-116.936676
MLS Listing,,Single Family Residential,5725 Vinley Pl,San Diego,CA,92120,699900,3,2.0,Del Cerro,1508,9900,1961,27,464,,Active,,,http://www.redfin.com/CA/San-Diego/5725-Vinley-Pl-92120/home/5440428,SDMLS,180066031,N,Y,32.7836694,-117.062284
MLS Listing,,Single Family Residential,7255 Golfcrest Dr,San Diego,CA,92119,699900,3,2.0,San Carlos,1656,9900,1970,1,423,,Active,,,http://www.redfin.com/CA/San-Diego/7255-Golfcrest-Dr-92119/home/4979701,SDMLS,180068789,N,Y,32.8082339,-117.0404143
MLS Listing,,Single Family Residential,6310 lambda Dr,san diego,CA,92120,699000,3,2.0,Del Cerro,1480,8800,1960,33,472,,Active,,,http://www.redfin.com/CA/San-Diego/6310-Lambda-Dr-92120/home/5440229,SDMLS,180065222,N,Y,32.7849665,-117.0617094
